id,AA,b,bs,el,f,g,j,k,l,tf,room,living,toilet,p
1446,1,2,0.8206,0,3,44.0,1,1,0,5,3,2,1,166212
1447,1,4,0.5206000000000001,1,4,22.0,1,1,1,9,3,2,2,430988
1448,1,1,0.6692,1,11,27.0,1,1,0,14,3,2,2,292635
1449,5,2,0.6365999999999999,0,5,29.0,1,1,0,5,3,2,2,143993
1450,1,1,0.7655,1,10,29.0,1,1,0,24,1,1,1,571170
1451,1,1,0.5318999999999999,1,6,25.0,1,1,2,12,3,2,2,361289
1453,5,2,0.5611999999999999,0,1,28.0,1,1,1,4,2,2,1,262823
1454,1,1,0.5157,1,14,2.0,1,1,1,14,2,1,1,609855
1455,1,1,0.5406,1,2,2.0,1,1,1,14,2,1,1,618003
1457,5,4,0.4263,1,6,1.0,1,1,1,8,2,2,2,654909
1459,1,1,0.8408,1,4,29.0,1,1,0,24,3,2,2,462638
1460,1,4,0.7061,1,4,32.0,1,1,0,6,3,2,2,416493
1461,2,1,0.5408,1,14,28.0,1,1,1,23,3,2,2,457577
1462,5,2,0.8984000000000001,0,4,44.0,1,1,0,4,3,2,1,364919
1463,2,1,0.643,1,5,26.0,2,1,0,23,2,2,1,553269
1464,1,1,0.7068000000000001,1,7,25.0,1,1,0,17,3,2,1,573874
1465,1,1,0.6981,1,10,32.0,1,1,0,12,3,2,2,547587
1466,1,1,0.6228,1,8,14.0,9,1,0,14,2,1,1,490357
1467,1,1,0.4975,1,8,14.0,9,1,1,14,1,1,1,422212
1468,1,1,0.8726999999999999,1,16,28.0,2,1,1,23,2,2,1,273418
1469,1,1,0.452,1,9,3.0,1,1,1,15,3,1,2,663944
1470,1,4,0.7084999999999999,1,5,29.0,2,1,0,8,2,2,1,496489
1471,1,4,0.6964,1,7,30.0,1,1,0,8,3,2,2,438516
1473,1,1,0.7920999999999999,1,22,29.0,1,1,0,24,2,1,1,496559
1474,1,1,0.5035000000000001,1,27,25.0,1,1,1,32,2,2,1,260512
1475,2,1,0.7067,1,15,25.0,2,1,1,18,3,2,2,438833
1476,1,2,0.9235,0,1,42.0,2,1,0,5,3,1,1,81114
1477,1,2,0.8913,0,3,41.0,1,1,0,3,2,1,2,352450
1478,5,2,0.8862000000000001,0,2,42.0,2,1,0,4,3,2,2,274565
1479,1,1,0.6136,1,3,29.0,1,1,0,16,3,2,1,440863
1480,1,4,0.5371,1,2,18.0,1,1,1,9,3,2,2,479656
1482,1,2,0.9297,0,5,36.0,2,1,0,5,3,2,2,400400
1483,1,1,0.6744,1,8,12.0,1,1,0,29,1,1,1,656020
1484,1,1,0.6981,1,8,32.0,1,1,0,12,3,2,2,596869
1485,5,2,0.8297,0,3,42.0,1,1,0,5,3,2,1,222612
1486,1,2,0.88,0,2,50.0,1,1,0,3,2,2,2,432129
1487,5,2,0.6545000000000001,0,3,28.0,1,1,0,5,2,1,1,185349
1488,5,4,0.6083,1,2,1.0,1,1,0,8,2,2,2,595987
1490,5,2,0.5993999999999999,0,2,28.0,1,1,1,4,3,2,2,279144
1491,1,1,0.6856,1,14,33.0,1,1,1,16,3,2,2,401540
1492,1,1,0.6063000000000001,1,11,27.0,2,1,0,16,3,2,2,443091
